Facility ID,casemixindex,cases
10001,2.0375,"4,837"
10005,1.6854,"1,963"
10006,1.9148,"3,751"
10007,1.5171,490
10008,1.1914,157
10011,2.0942,"2,525"
10012,1.6736,665
10016,2.0721,"1,919"
10018,1.2432,31
10019,1.5112,"2,079"
10021,1.6298,339
10022,0.9618,202
10023,2.2346,"3,479"
10024,2.0781,"2,647"
10029,1.9313,"3,156"
10033,2.6368,"11,007"
10034,1.2005,117
10035,1.5692,"2,402"
10036,1.5944,785
10038,1.3983,642
10039,2.0152,"11,535"
10040,1.8602,"2,418"
10044,1.3151,165
10045,1.3423,333
10046,1.879,"1,909"
10049,1.6346,923
10051,1.4408,51
10052,1.1608,121
10055,1.8763,"3,195"
10056,2.1284,"3,621"
10058,1.078,93
10059,1.2044,118
10061,1.7383,561
10062,1.3526,239
10065,1.6385,495
10069,1.3282,271
10073,1.3486,331
10078,1.818,"2,564"
10079,1.7643,"1,134"
10083,1.7309,"1,946"
10085,1.6332,"2,813"
10086,1.3368,422
10087,2.368,"1,482"
10089,1.7762,"1,376"
10090,2.1152,"2,793"
10091,1.1312,65
10092,1.8014,"6,437"
10095,1.1131,138
10097,1.2587,169
10099,1.344,367
10100,1.831,"2,726"
10101,1.4682,446
10102,0.9346,22
10103,2.1286,"2,159"
10104,2.1315,"5,356"
10108,1.4497,806
10110,1.0969,45
10112,1.6753,451
10113,2.0622,"5,042"
10114,1.7098,"1,174"
10118,1.5515,998
10120,1.2853,254
10125,1.1113,383
10126,1.4685,263
10128,1.1435,186
10129,1.4569,352
10130,1.5508,513
10131,1.7807,"2,531"
10138,0.8236,38
10139,2.1398,"1,981"
10144,2.2936,"2,101"
10148,1.1004,524
10149,1.5946,"1,579"
10150,1.3387,253
10157,1.2239,206
10158,1.427,393
10164,1.578,642
10168,2.5549,956
10169,1.2308,219
10173,1.3965,150
10174,1.3181,86
10175,1.4627,165
20001,2.2999,"4,787"
20006,1.8548,"1,853"
20008,1.4157,431
20012,1.6665,"1,142"
20017,2.3784,"2,754"
20018,1.2027,168
20024,1.7229,"1,024"
20026,1.9499,"1,632"
30002,2.721,"4,406"
30006,2.0838,"6,444"
30007,1.7149,"1,560"
30010,2.0921,"2,008"
30011,2.1092,"2,977"
30012,1.7851,"4,068"
30013,1.9561,"4,459"
30014,2.0375,"2,806"
30016,1.8619,"1,272"
30022,2.3848,656
30023,2.289,"2,929"
30024,2.7356,"5,139"
30030,2.0802,950
30036,2.0633,"6,044"
30037,2.2666,303
30038,1.9756,"4,408"
30043,1.557,"1,545"
30055,1.8321,"1,997"
30061,2.0876,"4,792"
30062,1.7381,"1,556"
30064,2.3899,"3,795"
30065,2.2364,"5,024"
30069,1.942,"2,524"
30071,1.1392,634
30073,1.5643,456
30074,0.8996,47
30077,1.1657,156
30078,1.4639,124
30083,2.0446,849
30084,1.2662,399
30085,1.9454,"3,367"
30087,2.0548,"6,237"
30088,1.8545,"4,344"
30089,2.2137,"3,645"
30092,1.9956,"3,038"
30093,1.7801,"5,160"
30094,2.4895,"3,409"
30101,1.7302,"1,462"
30103,2.367,"8,504"
30105,3.1592,"1,861"
30107,2.4036,619
30108,2.6529,457
30110,1.8514,"2,172"
30111,1.6839,918
30112,2.3971,302
30113,1.1488,271
30114,1.5993,"1,756"
30115,1.9554,"2,111"
30117,1.6038,455
30119,1.783,"3,206"
30121,2.0678,"1,757"
30122,2.0555,"1,834"
30123,1.6905,"3,074"
30130,1.943,794
30131,2.3078,"1,222"
30134,1.5326,276
30136,1.5649,48
30137,1.3298,381
30138,2.025,145
30139,1.7571,356
30146,1.5627,524
30147,1.6568,525
30148,1.2659,70
40001,1.7354,351
40002,1.4109,371
40004,2.2769,"4,484"
40007,2.6641,"4,931"
40010,1.9647,"3,280"
40011,1.229,600
40014,1.4584,"4,012"
40015,1.5039,225
40016,2.2765,"5,418"
40017,1.499,807
40018,1.5124,61
40019,1.3765,336
40020,2.0051,"5,555"
40022,1.8971,"2,352"
40026,1.9551,"4,467"
40027,1.7845,"3,082"
40029,1.7949,"2,749"
40036,1.9984,"4,052"
40039,1.518,"1,005"
40041,1.8184,"1,265"
40047,1.2143,344
40050,1.6548,322
40051,1.315,928
40055,1.9256,"3,857"
40062,1.885,"4,629"
40067,1.2892,432
40069,1.1993,408
40071,1.6798,"2,537"
40072,1.1229,253
40076,1.2565,284
40078,1.9011,"1,881"
40084,1.6528,"1,413"
40085,1.2805,170
40088,1.7368,"1,176"
40114,2.1967,"8,111"
40118,1.7598,"4,124"
40119,1.7699,"2,743"
40134,2.6942,"2,716"
40137,2.215,"1,202"
40147,2.1317,"1,516"
40152,2.7926,166
40153,1.4863,208
40154,1.8409,"1,231"
40156,1.3509,222
40161,1.5731,466
50002,1.6296,"1,159"
50006,1.9462,"2,768"
50007,2.0969,"3,349"
50008,1.914,967
50009,1.9835,"2,051"
50013,2.5046,"1,218"
50014,1.63,952
50017,2.5113,"3,161"
50022,2.2046,"3,191"
50024,1.6716,960
50025,2.5835,"7,127"
50026,1.9432,"6,199"
50028,1.5748,426
50030,1.5567,"5,211"
50036,2.0964,"3,096"
50038,1.879,"4,883"
50039,1.7672,"9,107"
50040,1.6899,"1,038"
50042,1.6415,"1,245"
50043,2.0332,"3,998"
50045,1.8479,"1,635"
50047,2.5671,"3,642"
50054,1.6877,479
50055,1.6676,"1,494"
50056,2.1929,"2,642"
50057,1.9764,"5,560"
50058,2.0005,"1,728"
50060,2.1558,"6,948"
50063,2.0058,"2,393"
50067,1.4134,223
50069,2.3668,"3,536"
50070,1.608,364
50071,2.268,600
50072,1.6624,441
50073,1.9302,596
50075,1.8025,"1,622"
50076,2.2161,585
50077,1.8995,"4,226"
50078,1.5681,945
50082,1.9163,"4,445"
50084,2.3435,"4,032"
50089,1.7484,387
50090,1.4465,362
50091,1.7492,434
50093,1.8732,"6,927"
50096,0.9277,292
50099,1.8848,"3,028"
50100,2.1606,"5,085"
50101,1.8144,"1,397"
50102,1.8689,857
50103,1.9529,"1,618"
50104,1.8464,"1,631"
50107,1.8023,"4,415"
50108,2.6086,"5,813"
50110,1.5311,976
50112,1.973,"4,467"
50113,1.6634,244
50115,1.9697,"3,452"
50116,2.138,"2,839"
50118,1.6173,930
50121,1.7202,"2,579"
50122,2.0616,835
50124,1.6624,"1,985"
50125,1.9452,"3,017"
50126,2.0387,"1,728"
50127,1.933,655
50128,2.1825,"1,799"
50129,2.0466,"1,752"
50131,1.6002,852
50132,1.9409,"1,504"
50133,1.8022,"4,566"
50135,1.6966,"4,445"
50136,1.642,796
50137,2.2491,312
50138,2.4284,"1,036"
50139,1.945,544
50140,2.1015,"1,287"
50145,1.9958,"4,846"
50149,1.9724,"1,007"
50150,1.5828,"1,845"
50152,1.9081,683
50158,1.8021,590
50159,1.5601,"1,489"
50167,1.8259,"1,202"
50168,2.177,"3,386"
50169,1.9327,"3,357"
50174,2.0815,"4,240"
50179,1.778,"2,395"
50180,1.9882,"6,070"
50191,2.1754,"1,384"
50192,1.0815,97
50194,1.5473,"1,109"
50195,1.82,"3,428"
50197,2.2593,"1,624"
50204,2.0435,"1,381"
50211,1.6064,806
50222,1.9452,"3,502"
50224,1.8926,"8,311"
50226,2.0444,"1,216"
50228,1.7415,"2,980"
50230,1.9953,975
50231,2.2118,"2,575"
50232,2.0614,"2,015"
50234,1.5624,664
50235,1.9313,"4,548"
50236,1.6184,"2,388"
50238,1.9755,"3,503"
50239,2.0293,"5,526"
50242,1.9644,"3,918"
50243,2.0258,"2,759"
50245,1.9445,"1,388"
50248,1.6819,"1,299"
50254,1.5562,"1,942"
50257,1.4323,394
50261,1.6545,"1,467"
50262,2.7436,"5,631"
50272,1.9507,"1,182"
50276,1.312,679
50278,2.0533,"2,822"
50279,1.6733,327
50280,2.0319,"5,173"
50281,1.7964,865
50283,2.144,"2,069"
50289,1.9621,"1,005"
50290,2.099,"4,757"
50291,1.8846,"2,089"
50292,1.7489,"1,898"
50295,1.7969,"1,925"
50298,1.7258,426
50300,1.9302,"2,064"
50301,1.6108,"1,211"
50305,1.8662,"2,195"
50308,1.972,"5,545"
50309,1.8773,"6,892"
50313,1.6843,914
50315,1.7757,946
50320,1.7512,"2,589"
50324,2.2836,"5,584"
50327,2.4763,"4,110"
50329,2.0201,"1,156"
50334,1.9315,"3,534"
50335,1.7621,"2,096"
50336,1.6236,"1,999"
50342,1.9015,874
50348,2.2962,"4,309"
50350,1.822,"1,332"
50351,1.9794,"5,271"
50352,1.7812,457
50353,1.9339,"3,104"
50357,1.9394,555
50360,1.9097,"3,175"
50367,1.9758,"3,387"
50373,1.9095,"2,419"
50376,1.9835,"1,551"
50378,1.3664,495
50380,1.9073,"4,624"
50382,1.9442,"3,075"
50390,1.7565,"1,478"
50393,1.6493,"1,424"
50394,1.9629,"2,705"
50396,2.0878,"5,651"
50397,1.0241,64
50407,1.4465,479
50411,2.0812,490
50414,1.6488,"2,035"
50417,1.7641,716
50423,1.1592,68
50424,2.2719,"2,248"
50425,1.962,936
50426,2.1433,"1,506"
50438,2.0276,"5,014"
50441,2.7244,"10,322"
50444,1.6702,"3,190"
50454,2.8523,"9,171"
50455,1.9227,"2,764"
50457,1.9818,"1,221"
50464,2.2125,"4,024"
50468,1.8597,"1,068"
50471,2.3507,"2,947"
50481,1.9466,"2,877"
50485,2.2794,"3,576"
50488,1.8932,"2,742"
50492,1.7468,"3,753"
50496,2.1309,"4,155"
50498,1.6672,"1,288"
50503,1.6836,"3,458"
50506,2.0627,"1,314"
50510,1.6373,162
50512,1.7623,229
50515,1.8829,"1,116"
50516,1.9567,"4,605"
50517,1.7551,639
50523,1.6966,"2,129"
50526,1.9102,615
50528,1.6704,352
50534,1.8267,803
50537,1.6203,867
50541,2.325,315
50543,1.0765,90
50546,0.702,2
50549,2.0336,"6,274"
50551,1.842,"2,356"
50557,1.9721,"5,458"
50561,2.1692,481
50567,2.1079,"4,130"
50568,1.7626,724
50570,1.9509,"2,606"
50573,1.9638,"7,789"
50580,1.6977,743
50581,2.0234,"1,654"
50586,1.9284,640
50588,1.934,702
50589,1.8547,609
50590,1.7715,"1,588"
50597,1.781,"1,103"
50599,2.465,"7,700"
50603,1.9691,"2,587"
50604,1.8848,579
50608,1.924,416
50609,1.9108,618
50624,1.768,"2,210"
50625,2.5087,"16,989"
50633,1.5272,"1,438"
50636,1.7145,"1,081"
50641,1.8937,235
50663,1.6795,"2,160"
50668,1.1782,93
50674,1.9671,"1,034"
50677,1.8995,243
50678,2.0816,"2,463"
50684,1.6563,409
50686,2.014,357
50689,1.9064,"1,213"
50690,1.5614,315
50696,3.2105,"3,741"
50697,1.5963,35
50701,1.7979,"1,919"
50704,1.9283,"1,641"
50708,3.2833,529
50709,1.9361,"1,700"
50710,1.7363,324
50714,2.6491,100
50717,2.1782,168
50723,1.993,393
50724,2.2472,"1,255"
50726,1.9755,218
50735,1.7557,708
50736,1.671,460
50737,2.0701,"1,441"
50738,2.0355,500
50739,2.0312,"3,085"
50740,2.0431,"1,436"
50742,1.8184,477
50744,1.966,266
50745,1.9788,292
50746,2.2936,"1,016"
50747,2.0901,247
50748,1.8991,442
50755,1.9409,"1,545"
50757,2.0046,"1,553"
50758,2.2031,425
50760,1.6525,473
50761,1.8066,"3,172"
50763,1.3922,"3,996"
50764,1.9596,"3,219"
50765,1.8012,205
50766,2.274,166
50767,2.0181,328
50769,3.1369,872
50770,1.9766,"2,131"
50771,1.9417,614
50772,1.6953,920
50775,1.8555,"2,263"
50776,1.4944,615
50777,1.8951,488
50778,1.7368,33
50779,1.6109,976
50780,1.7126,840
50782,2.2914,330
50783,1.1951,402
50784,1.5467,459
50785,3.0741,239
50796,2.2119,6
50849,1.501,159
60001,2.3526,"1,891"
60003,1.7136,800
60004,2.0372,521
60006,1.6083,822
60008,1.5138,565
60009,1.9198,"2,124"
60010,1.8889,"3,175"
60011,2.1556,"1,132"
60012,1.9207,377
60013,1.9092,"1,314"
60014,3.2467,"1,485"
60015,2.2398,"3,206"
60020,1.993,"3,886"
60022,2.1299,"6,498"
60023,2.2421,"3,186"
60024,2.5701,"7,472"
60027,2.0795,"2,359"
60028,2.3902,"1,305"
60030,1.7918,581
60031,2.1091,"6,031"
60032,2.0974,"1,712"
60034,2.2891,"4,263"
60044,1.3946,219
60049,1.9156,304
60054,2.0042,726
60064,2.4356,"1,581"
60065,2.0565,891
60071,1.531,465
60075,2.0765,952
60076,1.5906,410
60096,2.0553,482
60100,2.1688,"2,883"
60103,2.5197,459
60104,1.8258,"1,288"
60107,1.0617,21
60112,2.2346,"2,526"
60113,1.9732,"2,194"
60114,2.0654,"1,743"
60116,1.8849,"1,086"
60117,2.2161,264
60118,1.5125,156
60119,2.53,"3,554"
60124,3.7374,401
60125,1.9115,624
60126,1.9681,127
60128,1.9174,961
60129,1.7994,121
60130,1.8342,310
60131,1.7477,899
60132,1.8042,"1,322"
70002,2.0981,"5,178"
70003,1.478,917
70004,1.377,782
70005,1.8159,"2,720"
70006,1.8992,"3,706"
70007,1.6794,"3,342"
70008,1.4658,368
70010,1.8582,"5,077"
70011,1.521,"1,796"
70016,1.7245,"2,306"
70017,1.8811,"2,397"
70018,1.7733,"3,369"
70020,1.522,"3,241"
70021,1.482,866
70022,2.1847,"13,237"
70024,1.6943,"2,912"
70025,2.2297,"9,639"
70027,1.5969,"1,611"
70028,2.159,"2,850"
70029,1.5983,"1,114"
70031,1.478,"1,598"
70033,1.8234,"6,886"
70034,1.7234,"3,243"
70035,1.7204,"3,009"
70036,1.7629,"2,079"
70038,1.1015,4
80001,1.8718,"19,082"
80003,1.7803,"1,016"
80004,1.8737,"5,294"
80006,1.7355,"1,572"
80007,1.7159,"4,718"
80009,1.6094,"2,030"
90001,2.2449,"4,512"
90003,1.7734,"1,668"
90004,2.5308,"5,592"
90005,1.8281,"3,256"
90008,1.7264,"1,106"
90011,2.7874,"9,977"
100001,1.9977,"4,154"
100002,1.8804,"4,243"
100006,2.0052,"13,393"
100007,1.9917,"29,798"
100008,1.9708,"5,072"
100012,1.9805,"8,804"
100014,1.792,"1,474"
100017,2.072,"4,138"
100018,1.8471,"10,466"
100019,1.9928,"7,705"
100022,2.3,"5,166"
100023,1.9555,"3,906"
100025,1.9987,"5,678"
100026,1.9988,"3,037"
100028,1.7548,"1,652"
100029,1.8223,"3,020"
100030,1.5552,"2,934"
100032,1.9175,"1,871"
100034,2.0833,"4,420"
100035,2.1124,"3,979"
100038,2.0024,"4,096"
100039,2.1982,"2,123"
100040,2.2762,"5,477"
100043,1.5808,"1,512"
100044,1.7666,"9,560"
100045,1.6789,"2,006"
100046,1.7735,"2,211"
100047,1.4871,"1,522"
100048,1.1415,160
100049,1.8621,"1,469"
100050,1.6942,817
100051,1.525,"4,091"
100052,1.9228,"3,863"
100053,1.6234,"1,021"
100054,1.5162,"1,140"
100055,1.734,"1,411"
100057,1.8674,"4,840"
100062,1.9587,"4,318"
100063,1.544,"1,976"
100067,1.7803,"4,408"
100068,2.0858,"5,210"
100069,2.0491,"1,157"
100070,1.782,"3,840"
100071,1.5076,"1,691"
100072,1.7141,"2,508"
100073,2.0745,"3,980"
100075,1.8858,"8,944"
100077,1.8973,"3,306"
100080,1.9951,"6,612"
100081,1.1205,49
100084,1.8603,"4,898"
100086,1.7117,"2,587"
100087,2.0312,"16,618"
100088,1.9323,"12,043"
100090,1.8501,"4,427"
100092,1.9428,"2,271"
100093,2.1888,"4,106"
100099,1.5306,911
100105,1.9428,"5,673"
100106,1.2003,138
100107,1.7898,556
100109,1.7642,"3,808"
100110,2.0374,"3,145"
100113,2.4824,"10,111"
100117,1.5465,"2,459"
100118,1.7708,"3,197"
100121,1.6112,564
100122,1.7692,"1,755"
100124,1.5342,"1,247"
100125,1.5842,"1,025"
100126,1.6384,"1,595"
100127,2.0177,"6,918"
100128,2.2169,"9,823"
100130,1.7201,163
100131,1.8573,"3,817"
100132,1.7067,"1,126"
100134,1.1888,176
100135,2.0284,"5,505"
100137,1.9233,"1,542"
100140,1.4931,"1,220"
100142,1.5414,904
100150,1.607,770
100151,2.573,"7,684"
100154,1.9107,"2,400"
100156,1.5404,"2,764"
100157,1.754,"9,293"
100161,1.8603,"2,160"
100166,1.7466,"3,208"
100167,1.81,"2,394"
100168,1.93,"7,582"
100173,2.0921,"4,141"
100175,1.5366,297
100176,2.0687,"3,521"
100177,1.6736,"1,892"
100179,1.9841,"4,349"
100180,1.6389,"1,301"
100181,1.5541,859
100183,1.6406,"1,086"
100187,2.0219,"1,912"
100189,1.6827,"2,320"
100191,1.7007,"3,028"
100200,1.6735,915
100204,1.9402,"9,274"
100206,1.5669,"1,153"
100209,2.049,"2,013"
100211,1.6774,850
100212,1.7528,"10,310"
100213,1.9483,"4,351"
100217,1.761,"1,715"
100220,1.8945,"8,628"
100223,1.977,"4,105"
100224,1.6323,"1,594"
100226,1.9296,"4,586"
100228,1.9838,"2,959"
100230,1.6741,"1,045"
100231,1.7287,"5,831"
100232,1.6084,"1,943"
100236,1.9919,"4,185"
100238,1.866,"2,560"
100242,1.7825,"4,113"
100243,1.8883,"3,972"
100244,1.6278,"5,055"
100246,2.0877,"4,276"
100248,2.131,"3,600"
100249,1.697,"2,399"
100252,1.4542,"1,154"
100253,1.8647,"4,924"
100254,1.6726,"3,266"
100256,1.9826,"4,394"
100258,2.0803,"7,706"
100259,1.4655,"2,417"
100260,1.6237,"3,802"
100264,1.6615,"5,514"
100265,1.6818,"4,629"
100266,1.7334,"1,276"
100267,1.4735,"1,634"
100268,1.533,"1,577"
100269,1.793,"1,797"
100275,1.7938,"2,458"
100276,1.7119,"1,616"
100277,1.1751,5
100281,1.7962,"2,989"
100284,1.3166,950
100285,1.5163,719
100286,1.7791,"6,276"
100287,1.7476,"2,571"
100288,2.0376,"1,582"
100289,2.3452,"3,924"
100290,1.5484,"5,219"
100291,1.987,"1,205"
100292,1.825,"1,283"
100296,1.635,"1,252"
100299,1.8756,"2,400"
100302,1.48,"1,145"
100307,1.9995,"1,922"
100313,1.4008,155
100314,1.6432,"1,145"
100315,1.4672,"1,986"
100316,1.4675,"1,983"
100319,1.7232,"2,176"
100320,1.5169,720
100321,1.6812,"2,252"
100329,1.5411,983
100330,1.7158,231
100350,1.5966,148
110001,1.773,"2,594"
110002,1.7405,861
110003,1.7138,"1,566"
110005,1.831,"4,326"
110006,2.029,"2,145"
110007,1.8387,"3,921"
110008,1.8201,"3,947"
110010,2.6229,"6,805"
110011,1.7952,"2,538"
110015,1.6452,877
110016,1.6281,"2,136"
110018,1.6513,"1,192"
110023,1.9186,"1,266"
110024,1.6906,"1,915"
110025,1.8383,"3,557"
110027,1.3776,564
110028,1.9425,"6,414"
110029,2.0428,"10,551"
110030,1.7127,"1,869"
110031,1.8252,"1,464"
110032,1.526,483
110034,2.3897,"3,622"
110035,2.0981,"8,797"
110036,2.2814,"5,898"
110038,1.9206,"2,389"
110041,1.5239,456
110042,1.5657,"2,389"
110043,2.0576,"3,292"
110044,1.6758,448
110045,1.2759,323
110046,1.6559,986
110050,1.4,312
110051,1.4692,994
110054,1.7559,"3,462"
110064,2.1909,"2,875"
110069,1.6176,"3,476"
110071,1.4067,129
110073,1.45,238
110074,1.9711,"5,786"
110075,1.8336,"1,754"
110076,1.8239,"2,623"
110078,2.5806,"4,198"
110079,2.0399,"3,737"
110082,2.2709,"4,895"
110083,2.6579,"7,409"
110086,1.2936,134
110087,2.0319,"5,568"
110089,1.6161,"1,101"
110091,1.6833,"1,740"
110092,1.6128,283
110095,1.7115,"2,029"
110100,1.2704,113
110101,1.1501,48
110104,1.6625,690
110105,1.5399,"1,380"
110107,2.2812,"5,064"
110109,1.3439,251
110111,1.3288,163
110113,1.0775,44
110115,2.1523,"1,544"
110121,1.4238,146
110122,1.8069,"3,884"
110124,1.4312,671
110125,1.7724,"1,722"
110128,1.5642,735
110129,1.9528,"2,866"
110130,1.2389,21
110132,1.3046,281
110135,1.4816,275
110142,1.3913,161
110143,1.8621,"3,495"
110146,1.5379,403
110150,1.6148,664
110153,1.4086,517
110161,2.0405,"3,950"
110164,1.9501,"2,728"
110165,1.9648,771
110168,2.0037,"4,166"
110177,2.3049,"2,928"
110184,1.7358,"1,596"
110189,1.5341,297
110190,0.8255,1
110191,1.814,"3,324"
110192,1.7801,"1,795"
110194,1.1141,201
110198,1.9257,"2,018"
110200,1.8687,"1,096"
110201,1.6323,704
110209,1.4886,"1,591"
110215,1.7877,"4,247"
110225,1.6445,"1,368"
110226,1.5799,759
110229,1.8471,"2,584"
110230,1.7098,"1,966"
110233,2.0352,361
110234,0.9876,27
110236,1.2744,129
110237,1.3167,279
110252,1.6674,167
120001,2.1727,"6,020"
120002,1.8346,"1,418"
120004,1.3819,178
120005,1.6812,"1,735"
120006,1.8621,"1,376"
120007,2.1275,916
120011,1.8939,624
120014,1.5806,593
120019,1.551,617
120022,2.4208,"1,927"
120026,2.003,"1,827"
120028,1.671,328
130002,1.8072,"2,483"
130003,2.1265,"1,380"
130006,2.0739,"5,297"
130007,2.1196,"3,731"
130013,1.6207,"1,226"
130014,1.8911,623
130018,2.2328,"3,003"
130025,1.6749,300
130028,2.1194,"2,100"
130049,2.1877,"4,486"
130063,3.6076,108
130065,2.4254,228
130066,3.607,389
130071,1.6091,891
130073,1.0282,3
130074,1.8269,824
140001,1.4061,769
140002,1.6033,"2,141"
140007,1.7926,"5,189"
140008,1.7463,"1,837"
140010,1.8457,"14,261"
140011,1.5768,"3,052"
140012,1.4595,"1,044"
140013,1.5726,"1,157"
140015,1.8215,"5,521"
140018,1.9502,"1,084"
140019,1.1502,126
140029,1.7852,"3,503"
140030,1.8441,"3,851"
140032,1.4986,"1,516"
140034,1.5057,"1,644"
140040,1.3939,391
140043,1.5671,"1,659"
140046,1.8281,"2,663"
140048,1.7259,"3,301"
140049,1.8429,977
140052,1.7631,957
140053,2.1817,"5,936"
140054,1.6791,"2,271"
140058,1.5293,"1,078"
140059,1.3646,431
140062,1.7269,"8,699"
140063,1.6824,"1,697"
140064,1.5672,"1,301"
140065,1.7498,"3,147"
140067,2.1139,"9,426"
140068,1.393,540
140077,1.1748,230
140080,1.7471,"2,093"
140082,1.7997,"1,298"
140083,1.3305,499
140084,1.6639,"2,111"
140088,2.5759,"7,771"
140089,1.5082,494
140091,1.9612,"6,502"
140093,1.4678,"1,567"
140095,1.6833,367
140100,1.9499,236
140101,1.6561,"1,674"
140103,1.5321,493
140110,1.4875,"1,339"
140113,1.9535,"1,038"
140114,1.9025,"2,463"
140115,1.3324,915
140116,1.7603,"6,890"
140117,2.1139,"4,256"
140119,2.373,"8,282"
140120,1.5988,788
140122,1.9347,"2,436"
140124,1.769,"1,314"
140125,1.4488,"1,083"
140127,1.8147,"2,197"
140130,1.7101,"3,315"
140133,1.4483,"1,078"
140135,1.8899,"2,833"
140137,1.2815,244
140143,1.6118,658
140145,1.4431,368
140147,1.4558,483
140148,1.9743,"7,010"
140150,2.1222,"2,851"
140155,1.6928,"1,630"
140158,1.5924,638
140160,1.5376,975
140161,1.4172,863
140162,1.8262,"2,720"
140164,1.9515,"3,132"
140166,1.6876,"1,938"
140167,1.403,248
140172,1.7177,"3,343"
140174,1.9106,"1,509"
140177,1.2996,525
140179,1.7023,"3,540"
140180,1.6203,"2,265"
140181,1.468,531
140182,2.0754,"2,248"
140184,1.8744,915
140185,1.743,"4,066"
140186,1.8167,"3,549"
140187,2.0066,"2,943"
140189,1.5406,"3,167"
140191,1.7261,"3,008"
140197,1.1633,416
140200,1.9326,"5,602"
140202,1.863,"5,086"
140206,1.6373,879
140208,2.3304,"8,498"
140209,2.1498,"2,690"
140210,1.5171,421
140211,1.6816,"3,280"
140213,1.7204,"7,023"
140217,1.642,"1,430"
140223,2.0927,"7,472"
140224,1.5288,"1,882"
140228,1.8255,"3,548"
140231,1.9894,"5,971"
140233,2.0695,"4,117"
140234,1.4718,797
140239,1.8732,"2,440"
140242,2.0112,"6,081"
140250,1.6857,415
140251,1.795,"1,356"
140252,1.7783,"7,636"
140258,2.1573,"5,513"
140275,1.6264,807
140276,2.5101,"6,166"
140280,1.8811,"3,109"
140281,2.5237,"10,920"
140286,1.6955,"2,068"
140288,2.0488,"4,824"
140289,1.5341,"1,804"
140290,1.7562,"3,628"
140291,1.9341,"4,202"
140292,1.6401,"1,067"
140294,1.6545,373
140300,1.2466,61
140304,1.7391,"1,313"
140307,1.4012,326
150001,1.4225,598
150002,1.744,"3,258"
150004,1.7176,"1,256"
150005,1.7871,"1,721"
150006,1.759,"1,694"
150007,1.7663,"1,323"
150008,1.6719,"1,245"
150009,1.6672,"2,523"
150010,1.7035,"1,370"
150011,1.4397,"1,363"
150012,1.9108,"3,302"
150015,1.6862,"2,502"
150017,2.1946,"4,559"
150018,1.8655,"2,950"
150021,1.9042,"7,533"
150022,1.4545,529
150023,1.8577,"5,195"
150024,2.0403,"1,926"
150026,1.82,"1,068"
150030,1.4598,900
150034,1.7414,"3,479"
150035,1.8148,"3,625"
150037,1.527,853
150042,1.6469,"2,095"
150044,1.942,"4,408"
150045,1.3482,333
150046,1.8972,"1,538"
150047,1.4689,235
150048,1.7783,"5,527"
150051,1.8663,"3,900"
150056,2.3983,"9,840"
150057,1.8376,808
150058,1.8516,"4,164"
150059,1.6538,"1,088"
150061,1.5012,420
150065,1.9084,510
150069,1.4367,"1,109"
150072,1.5013,467
150074,2.0483,"3,834"
150075,1.3284,241
150076,1.4954,512
150082,1.9111,"12,078"
150084,2.337,"7,424"
150086,1.5389,"1,331"
150088,1.6439,"1,311"
150089,1.7857,"5,348"
150090,1.7234,"1,826"
150091,1.3766,328
150097,1.5649,963
150100,2.1173,"4,144"
150101,1.3085,348
150102,1.214,182
150104,1.5667,652
150109,1.9809,"3,117"
150112,1.7391,"3,106"
150113,1.7306,"1,455"
150115,1.6939,"1,818"
150125,2.0111,"6,114"
150126,1.8864,"3,206"
150128,1.6769,"2,484"
150133,1.3974,782
150146,1.3417,435
150149,1.6851,39
150150,1.7089,532
150153,3.8491,"1,668"
150157,1.9519,"1,169"
150158,1.8194,"2,159"
150160,2.4776,688
150161,1.6405,"1,688"
150162,2.2195,"6,085"
150165,1.6361,"1,110"
150166,2.709,248
150167,3.3485,123
150168,2.6516,402
150169,1.7945,"3,482"
150172,2.2745,132
150173,1.688,"3,367"
150177,2.3813,109
150179,1.2765,116
150181,1.6273,219
150183,1.7623,434
150191,1.0723,27
160001,1.5726,417
160005,1.3681,664
160008,1.2209,178
160013,1.3427,375
160016,1.8092,"1,279"
160028,1.7873,"1,146"
160029,1.801,"2,191"
160030,1.5826,"2,955"
160032,1.5828,268
160033,2.0971,"4,306"
160040,1.646,208
160045,1.9763,"3,583"
